Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
Givenchy,photo perfexion fluid foundation spf 20 pa,$50.00,0.8 oz,738 reviews,4.4539,Makeup>Face Makeup>Foundation>,1 Perfect Ivory|101 Perfect Beige |104 Perfect Cinnamon |105 Perfect Ginger|106 Perfect Pecan|108 Perfect Almond |2 Perfect Petal|4 Perfect Vanilla|5 Perfect Praline|6 Perfect Honey|7 Perfect Gold|8 Perfect Amber
surratt beauty,classique shadow brush petite,$45.00,,not rated,0.0,Makeup>Eye Makeup>Eye Brushes>,
bareMinerals,essential brow color,$11.00,0.01 oz,663 reviews,4.537,Makeup>Eye Makeup>Eyebrows>,Brunette|Dark Blonde/ Medium Brown
Dior,glow maximizer primer,$42.00,1 oz,62 reviews,4.2581,Makeup>Face Makeup>Face Primer>,001
beautyblender,bling ring by beautyblender,$29.00,,31 reviews,4.2903,Makeup>Face Makeup>Makeup Sponges & Applicators>,
Laura Mercier,mineral pressed powder spf 15,$39.00,0.28 oz,685 reviews,4.1766,Makeup>Face Makeup>Face Powder>,Classic Beige|Golden Suntan|Natural Beige|Real Sand|Rich Vanilla|Soft Porcelain|Tender Rose|Warm Chestnut
Dior,diorshow black out waterproof mascara,$27.50,,1405 reviews,3.8121,Makeup>Eye Makeup>Mascara>,Black
Dolce & Gabbana,the foundation perfect matte liquid foundation broad spectrum spf 20,$68.00,,72 reviews,4.3194,Makeup>Face Makeup>Foundation>,Almond 150|Amber 148|Beige 78|Bisque 75|Bronze 144|Caramel 110|Classic 60|Creamy 80|Golden Honey 170|Natural Beige 120|Natural Glow 100|Rose Beige 140|Soft Sable 180|Soft Tan 160|Warm Rose 130
Giorgio Armani,maestro fusion blush,$52.00,0.5 oz,10 reviews,3.9,Makeup>Face Makeup>Blush>,300|400|500
Fresh,soy conditioning eye makeup remover,$26.00,4 oz,85 reviews,3.2824,Skin Care>,
BECCA,the one perfecting brush,$49.00,,219 reviews,3.726,Makeup>Face Makeup>Face Brushes>,
bareMinerals,barevitamins skin rev er upper,$21.00,2.3 oz,1290 reviews,4.3078,Makeup>Face Makeup>Face Primer>,
Bobbi Brown,face brush,$44.00,,12 reviews,4.75,Makeup>Face Makeup>Face Brushes>,
Guerlain,brow kit,$53.00,0.14 oz,8 reviews,5.0,Makeup>Eye Makeup>Eyebrows>,00 Universal
Givenchy,le rose revelateur magic lip gloss,$31.00,0.21 oz,12 reviews,3.75,Makeup>Lips>Lip Gloss>,Perfect Pink
